timestamp,Flow_intake (l/s),Temperature_out (C),CO2_tank_Pressure (bar),CO2_dose(g/m3),pH_raw,pH_out,Cl2_dosing_pt (mg/L),Residual_Cl2_30min (mg/L)
2025-09-01T12:00:00+02:00,355.6666666666667,6.8999999999999995,12.0,9.0,6.366666666666667,8.5,0.08316666666666668,0.039
2025-09-01T12:01:00+02:00,350.5333333333333,6.8999999999999995,12.0,9.05,6.3999999999999995,8.5,0.0825,0.039
2025-09-01T12:02:00+02:00,349.9333333333334,6.8999999999999995,12.0,8.983333333333333,6.383333333333334,8.5,0.079,0.03983333333333334
2025-09-01T12:03:00+02:00,342.98333333333335,6.8999999999999995,12.0,9.0,6.3999999999999995,8.5,0.079,0.04
2025-09-01T12:04:00+02:00,346.8,6.8999999999999995,12.0,9.0,6.3999999999999995,8.5,0.08816666666666666,0.04
2025-09-01T12:05:00+02:00,340.55,6.916666666666667,12.0,9.016666666666667,6.3999999999999995,8.5,0.09199999999999998,0.04
2025-09-01T12:06:00+02:00,343.48333333333335,6.8999999999999995,12.0,9.05,6.383333333333333,8.5,0.09883333333333333,0.04
2025-09-01T12:07:00+02:00,344.3333333333333,6.8999999999999995,12.0,9.0,6.3999999999999995,8.5,0.123,0.04
2025-09-01T12:08:00+02:00,349.3333333333333,6.916666666666667,12.0,9.033333333333333,6.3999999999999995,8.5,0.123,0.04
2025-09-01T12:09:00+02:00,338.93333333333334,6.8999999999999995,12.0,9.049999999999999,6.3999999999999995,8.5,0.11499999999999999,0.04
2025-09-01T12:10:00+02:00,335.65,6.8999999999999995,12.0,9.033333333333333,6.3999999999999995,8.5,0.112,0.04
2025-09-01T12:11:00+02:00,337.59999999999997,6.8999999999999995,12.0,9.0,6.3999999999999995,8.5,0.11583333333333334,0.04
2025-09-01T12:12:00+02:00,341.8833333333334,6.8999999999999995,12.0,9.05,6.3999999999999995,8.5,0.135,0.04
2025-09-01T12:13:00+02:00,333.81666666666666,6.916666666666667,12.0,9.066666666666666,6.3999999999999995,8.5,0.135,0.04
2025-09-01T12:14:00+02:00,335.90000000000003,6.8999999999999995,12.0,9.016666666666667,6.3999999999999995,8.5,0.12916666666666668,0.04
