TimeStamp,Flow
02/04/2022 00:00,18.71312482
02/04/2022 00:05,18.41340683
02/04/2022 00:10,14.03452599
02/04/2022 00:15,14.73172383
02/04/2022 00:20,17.59322195
02/04/2022 00:25,15.6590867
02/04/2022 00:30,16.14829085
02/04/2022 00:35,16.98595518
02/04/2022 00:40,14.82173697
02/04/2022 00:45,15.76365958
02/04/2022 00:50,15.97889064
02/04/2022 00:55,13.76566371
02/04/2022 01:00,12.65485389
02/04/2022 01:05,12.58326471
02/04/2022 01:10,13.10359735
02/04/2022 01:15,12.28479303
02/04/2022 01:20,12.13812161
02/04/2022 01:25,13.60084997
02/04/2022 01:30,11.08091919
02/04/2022 01:35,12.53006495
02/04/2022 01:40,11.69412449
02/04/2022 01:45,10.77497987
02/04/2022 01:50,12.15338626
02/04/2022 01:55,10.55374912
02/04/2022 02:00,11.14060187
02/04/2022 02:05,10.79684047
02/04/2022 02:10,11.08095682
02/04/2022 02:15,10.99813437
02/04/2022 02:20,10.06571941
02/04/2022 02:25,9.847626076
02/04/2022 02:30,10.00492074
02/04/2022 02:35,10.8722967
02/04/2022 02:40,10.50252859
02/04/2022 02:45,11.57630502
02/04/2022 02:50,9.325852516
02/04/2022 02:55,8.971800293
02/04/2022 03:00,10.89388464
02/04/2022 03:05,9.695155296
02/04/2022 03:10,9.124528288
02/04/2022 03:15,8.461045643
02/04/2022 03:20,9.656372015
02/04/2022 03:25,9.44168404
02/04/2022 03:30,9.371388731
02/04/2022 03:35,8.418798091
02/04/2022 03:40,8.783995249
02/04/2022 03:45,9.205952865
02/04/2022 03:50,9.736298588
02/04/2022 03:55,10.4089774
02/04/2022 04:00,8.868745771
02/04/2022 04:05,8.120635062
02/04/2022 04:10,9.177685381
02/04/2022 04:15,9.150767021
02/04/2022 04:20,9.30213893
02/04/2022 04:25,8.845993277
02/04/2022 04:30,9.443779226
02/04/2022 04:35,9.090049544
02/04/2022 04:40,10.4542057
02/04/2022 04:45,8.977332723
02/04/2022 04:50,9.929685574
02/04/2022 04:55,10.08582888
02/04/2022 05:00,10.23776692
02/04/2022 05:05,11.51859885
02/04/2022 05:10,9.725549873
02/04/2022 05:15,12.08190272
02/04/2022 05:20,10.66428866
02/04/2022 05:25,12.65283968
02/04/2022 05:30,11.54006959
02/04/2022 05:35,11.1291657
02/04/2022 05:40,11.90666185
02/04/2022 05:45,12.22554241
02/04/2022 05:50,15.64670907
02/04/2022 05:55,14.94831642
02/04/2022 06:00,15.49896551
02/04/2022 06:05,16.27544991
02/04/2022 06:10,18.92569563
02/04/2022 06:15,21.20381408
02/04/2022 06:20,20.72934689
02/04/2022 06:25,26.57231124
02/04/2022 06:30,26.78225121
02/04/2022 06:35,30.11419228
02/04/2022 06:40,30.46123825
02/04/2022 06:45,33.63677644
02/04/2022 06:50,34.24401798
02/04/2022 06:55,36.73845775
02/04/2022 07:00,39.12979364
02/04/2022 07:05,40.24471594
02/04/2022 07:10,43.50543
02/04/2022 07:15,39.91883812
02/04/2022 07:20,41.6574487
02/04/2022 07:25,45.80666679
02/04/2022 07:30,47.22798414
02/04/2022 07:35,44.90639895
02/04/2022 07:40,45.9134774
02/04/2022 07:45,44.25388356
02/04/2022 07:50,45.75722702
02/04/2022 07:55,38.78294371
02/04/2022 08:00,43.26165141
02/04/2022 08:05,44.52471919
02/04/2022 08:10,48.2319544
02/04/2022 08:15,45.32198227
02/04/2022 08:20,46.71541308
02/04/2022 08:25,44.19488991
02/04/2022 08:30,51.13587545
02/04/2022 08:35,47.17661964
02/04/2022 08:40,45.97560286
02/04/2022 08:45,49.56317429
02/04/2022 08:50,35.14895111
02/04/2022 08:55,44.38842304
02/04/2022 09:00,41.82527618
02/04/2022 09:05,41.38357433
02/04/2022 09:10,43.53358474
02/04/2022 09:15,47.70635306
02/04/2022 09:20,45.83700653
02/04/2022 09:25,42.44405562
02/04/2022 09:30,49.52861025
02/04/2022 09:35,45.98608465
02/04/2022 09:40,45.77873542
02/04/2022 09:45,43.52731692
02/04/2022 09:50,37.3628745
02/04/2022 09:55,46.49231969
02/04/2022 10:00,38.66618352
02/04/2022 10:05,42.61098117
02/04/2022 10:10,36.41333063
02/04/2022 10:15,42.87956011
02/04/2022 10:20,45.22384594
02/04/2022 10:25,41.24866449
02/04/2022 10:30,41.91215919
02/04/2022 10:35,46.72965633
02/04/2022 10:40,42.10704905
02/04/2022 10:45,39.58359554
02/04/2022 10:50,43.56966827
02/04/2022 10:55,45.25743245
02/04/2022 11:00,43.76695909
02/04/2022 11:05,43.09743588
02/04/2022 11:10,36.41541575
02/04/2022 11:15,41.26656403
02/04/2022 11:20,41.63314075
02/04/2022 11:25,42.60531578
02/04/2022 11:30,38.3170461
02/04/2022 11:35,41.53232484
02/04/2022 11:40,40.76460561
02/04/2022 11:45,40.74889921
02/04/2022 11:50,46.29319645
02/04/2022 11:55,39.65530544
02/04/2022 12:00,42.18883164
02/04/2022 12:05,46.2026071
02/04/2022 12:10,43.18831036
02/04/2022 12:15,41.87537654
02/04/2022 12:20,39.0462819
02/04/2022 12:25,37.97861993
02/04/2022 12:30,43.28078475
