Date,ppt_mm,mean_temp_C,lake_water_level_m,inflow_m,Q_precip,dV_dt,Q_out_raw,Q_out_rating,outflow_m_unrouted,outflow_m,dt_seconds,E_mm_day,E_m,Q_evap,ppt_m,dh,Q_in,Q_out_raw_evap,SSC_kg_m3,sediment_load_kg_s,sediment_load_t_day,h_kf_m,outflow_kf_m
1990-01-01 00:00:00,10.97,21.26,11.2785,169.5603397,672.9282407,0,842.4885804,784.5506239,784.5506239,784.5506239,86400,4.28047844,0.004280478,262.575645,0.01097,0,169.5603397,579.9129354,0.28966132,49.11507178,4243.542202,11.2785,784.5506239
1990-01-02 00:00:00,8.38,20.89,11.3545,189.5087804,514.0509259,4662.037037,-3958.477331,754.227843,754.227843,785.596237,86400,4.205982813,0.004205983,258.0058902,0.00838,0.076,189.5087804,-4216.483221,0.342253654,64.86007258,5603.910271,11.34715705,783.3535841
1990-01-03 00:00:00,4.87,20.995,11.54,111.0258556,298.7384259,11379.05093,-10969.28664,689.3387688,689.3387688,777.0171037,86400,4.227123464,0.004227123,259.3027125,0.00487,0.1855,111.0258556,-11228.58936,0.153475933,17.03979673,1472.238438,11.43908056,765.2594441
1990-01-04 00:00:00,8.32,22.445,11.6815,128.4768803,510.3703704,8679.976852,-8041.129601,646.9864279,646.9864279,748.2436207,86400,4.519065785,0.004519066,277.2112113,0.00832,0.1415,128.4768803,-8318.340812,0.191047589,24.54519829,2120.705132,11.52673265,725.7870712
1990-01-05 00:00:00,5.63,22.8,12.1025,111.9213527,345.3587963,25825.23148,-25367.95133,547.3253173,547.3253173,716.7639373,86400,4.590541318,0.004590541,281.5957059,0.00563,0.421,111.9213527,-25649.54704,0.1553365,17.38547115,1502.104707,11.70909206,597.7425983
1990-01-06 00:00:00,2.22,22.37,11.1595,85.20991877,136.1805556,-57846.06481,58067.45529,837.353577,837.353577,648.3358525,86400,4.50396532,0.004503965,276.2849097,0.00222,-0.943,85.20991877,57791.17038,0.103190405,8.792845995,759.701894,11.53453541,742.6555086
1990-01-07 00:00:00,0.05,23.81,11.4295,148.4395737,3.06712963,16562.5,-16410.9933,726.5514606,726.5514606,717.3351408,86400,4.793894245,0.004793894,294.0699016,0.00005,0.27,148.4395737,-16705.0632,0.237262245,35.21910657,3042.930808,11.49350284,770.5757552
1990-01-08 00:00:00,0.287857143,22.875,11.5855,136.0882386,17.65790344,9569.444444,-9415.698302,675.1178512,675.1178512,722.2867549,86400,4.605641783,0.004605642,282.5220075,0.000287857,0.156,136.0882386,-9698.22031,0.208273962,28.34363658,2448.8902,11.50966055,734.5558688
1990-01-09 00:00:00,0.525714286,22.085,11.233,75.07739392,32.24867725,-21623.26389,21730.58996,803.9210077,803.9210077,701.5801275,86400,4.446583553,0.004446584,272.7649633,0.000525714,-0.3525,75.07739392,21457.825,0.085342993,6.407329539,553.5932722,11.41977967,828.6037281
1990-01-10 00:00:00,0.763571429,24.045,11.0005,130.4203676,46.83945106,-14262.15278,14439.4126,920.3341721,920.3341721,732.8558392,86400,4.841209035,0.004841209,296.9723135,0.000763571,-0.2325,130.4203676,14142.44028,0.195398947,25.48400244,2201.817811,11.28864344,979.4381906
1990-01-11 00:00:00,1.001428571,23.815,11.718,164.3549073,61.43022487,44013.31019,-43787.52505,636.9057141,636.9057141,807.2769353,86400,4.794900943,0.004794901,294.1316551,0.001001429,0.7175,164.3549073,-44081.65671,0.276425499,45.43188725,3925.315058,11.39940982,808.5288643
1990-01-12 00:00:00,1.239285714,24.005,11.5175,222.1241284,76.02099868,-12299.18981,12597.33494,696.5986192,696.5986192,746.4698623,86400,4.833155454,0.004833155,296.4782859,0.001239286,-0.2005,222.1241284,12300.85666,0.434307864,96.47025579,8335.0301,11.42385374,757.5808112
1990-01-13 00:00:00,1.477142857,24.18,11.884,163.1066503,90.61177249,22482.06019,-22228.34176,594.8153423,594.8153423,732.7826501,86400,4.868389872,0.00486839,298.6396565,0.001477143,0.3665,163.1066503,-22526.98142,0.273282355,44.57416954,3851.208249,11.54639554,572.7084019
1990-01-14 00:00:00,1.715,24.055,11.352,180.329846,105.2025463,-32634.25926,32919.79165,755.1873683,755.1873683,679.6776465,86400,4.84322243,0.004843222,297.0958204,0.001715,-0.532,180.329846,32622.69583,0.317691435,57.28924755,4949.790989,11.48387174,645.0018941
1990-01-15 00:00:00,1.952857143,24.625,11.2565,133.8605863,119.7933201,-5858.217593,6111.871499,793.7966411,793.7966411,704.3841274,86400,4.957985963,0.004957986,304.135713,0.001952857,-0.0955,133.8605863,5807.735786,0.203181037,27.19793277,2349.901392,11.41059328,729.2497492
